Ano Censo;Categoria Administrativa;Sub Categoria Administrativa;Id Categoria Administrativa;Número de Matrículas;Número de Concluintes;Grau Acadêmico;Modalidade Ensino;Organização Acadêmica
2016;PÚBLICA;MUNICIPAL;3;2049;196;LICENCIATURA;CURSO A DISTÂNCIA;UNIVERSIDADES
2016;PÚBLICA;MUNICIPAL;3;1507;542;TECNOLÓGICO;PRESENCIAL;UNIVERSIDADES
2016;PÚBLICA;MUNICIPAL;3;427;79;TECNOLÓGICO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2016;PÚBLICA;MUNICIPAL;3;869;183;TECNOLÓGICO;PRESENCIAL;FACULDADES
2016;PÚBLICA;MUNICIPAL;3;520;222;TECNOLÓGICO;CURSO A DISTÂNCIA;UNIVERSIDADES
2016;PRIVADA;PRIVADA;4;2421;1085;-;PRESENCIAL;UNIVERSIDADES
2016;PRIVADA;PRIVADA;4;287;105;-;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2016;PRIVADA;PRIVADA;4;663;226;-;PRESENCIAL;FACULDADES
2016;PRIVADA;PRIVADA;4;9;1;-;CURSO A DISTÂNCIA;UNIVERSIDADES
2016;PRIVADA;PRIVADA;4;1436478;190691;BACHARELADO;PRESENCIAL;UNIVERSIDADES
2016;PRIVADA;PRIVADA;4;854590;108000;BACHARELADO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2016;PRIVADA;PRIVADA;4;1598435;211910;BACHARELADO;PRESENCIAL;FACULDADES
2016;PRIVADA;PRIVADA;4;339927;46909;BACHARELADO;CURSO A DISTÂNCIA;UNIVERSIDADES
2016;PRIVADA;PRIVADA;4;89902;8547;BACHARELADO;CURSO A DISTÂNCIA;CENTROS UNIVERSITÁRIOS
2016;PRIVADA;PRIVADA;4;8435;420;BACHARELADO;CURSO A DISTÂNCIA;FACULDADES
2016;PRIVADA;PRIVADA;4;116857;23811;LICENCIATURA;PRESENCIAL;UNIVERSIDADES
2016;PRIVADA;PRIVADA;4;69722;13130;LICENCIATURA;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2016;PRIVADA;PRIVADA;4;196355;44164;LICENCIATURA;PRESENCIAL;FACULDADES
2016;PRIVADA;PRIVADA;4;382485;56940;LICENCIATURA;CURSO A DISTÂNCIA;UNIVERSIDADES
2016;PRIVADA;PRIVADA;4;150234;18988;LICENCIATURA;CURSO A DISTÂNCIA;CENTROS UNIVERSITÁRIOS
2016;PRIVADA;PRIVADA;4;25727;3368;LICENCIATURA;CURSO A DISTÂNCIA;FACULDADES
2016;PRIVADA;PRIVADA;4;133153;38023;TECNOLÓGICO;PRESENCIAL;UNIVERSIDADES
2016;PRIVADA;PRIVADA;4;96789;29043;TECNOLÓGICO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2016;PRIVADA;PRIVADA;4;184180;48388;TECNOLÓGICO;PRESENCIAL;FACULDADES
2016;PRIVADA;PRIVADA;4;233546;51845;TECNOLÓGICO;CURSO A DISTÂNCIA;UNIVERSIDADES
2016;PRIVADA;PRIVADA;4;131122;27397;TECNOLÓGICO;CURSO A DISTÂNCIA;CENTROS UNIVERSITÁRIOS
2016;PRIVADA;PRIVADA;4;10439;1000;TECNOLÓGICO;CURSO A DISTÂNCIA;FACULDADES
2015;PÚBLICA;FEDERAL;1;21759;16;-;PRESENCIAL;UNIVERSIDADES
2015;PÚBLICA;FEDERAL;1;188;0;-;PRESENCIAL;FACULDADES
2015;PÚBLICA;FEDERAL;1;238;0;-;PRESENCIAL;IFs e CEFETs
2015;PÚBLICA;FEDERAL;1;732121;82610;BACHARELADO;PRESENCIAL;UNIVERSIDADES
2015;PÚBLICA;FEDERAL;1;1248;226;BACHARELADO;PRESENCIAL;FACULDADES
2015;PÚBLICA;FEDERAL;1;48956;2914;BACHARELADO;PRESENCIAL;IFs e CEFETs
2015;PÚBLICA;FEDERAL;1;17701;1766;BACHARELADO;CURSO A DISTÂNCIA;UNIVERSIDADES
2015;PÚBLICA;FEDERAL;1;391;13;BACHARELADO;CURSO A DISTÂNCIA;IFs e CEFETs
2015;PÚBLICA;FEDERAL;1;228232;28023;LICENCIATURA;PRESENCIAL;UNIVERSIDADES
2015;PÚBLICA;FEDERAL;1;222;31;LICENCIATURA;PRESENCIAL;FACULDADES
2015;PÚBLICA;FEDERAL;1;39951;4072;LICENCIATURA;PRESENCIAL;IFs e CEFETs
2015;PÚBLICA;FEDERAL;1;49701;6694;LICENCIATURA;CURSO A DISTÂNCIA;UNIVERSIDADES
2015;PÚBLICA;FEDERAL;1;5189;571;LICENCIATURA;CURSO A DISTÂNCIA;IFs e CEFETs
2015;PÚBLICA;FEDERAL;1;14055;2034;TECNOLÓGICO;PRESENCIAL;UNIVERSIDADES
2015;PÚBLICA;FEDERAL;1;46326;4691;TECNOLÓGICO;PRESENCIAL;IFs e CEFETs
2015;PÚBLICA;FEDERAL;1;4656;477;TECNOLÓGICO;CURSO A DISTÂNCIA;UNIVERSIDADES
2015;PÚBLICA;FEDERAL;1;3825;325;TECNOLÓGICO;CURSO A DISTÂNCIA;IFs e CEFETs
2015;PÚBLICA;ESTADUAL;2;7089;101;-;PRESENCIAL;UNIVERSIDADES
2015;PÚBLICA;ESTADUAL;2;288595;39047;BACHARELADO;PRESENCIAL;UNIVERSIDADES
2015;PÚBLICA;ESTADUAL;2;856;77;BACHARELADO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2015;PÚBLICA;ESTADUAL;2;2450;450;BACHARELADO;PRESENCIAL;FACULDADES
2015;PÚBLICA;ESTADUAL;2;9972;1310;BACHARELADO;CURSO A DISTÂNCIA;UNIVERSIDADES
2015;PÚBLICA;ESTADUAL;2;198397;30218;LICENCIATURA;PRESENCIAL;UNIVERSIDADES
2015;PÚBLICA;ESTADUAL;2;3342;475;LICENCIATURA;PRESENCIAL;FACULDADES
